City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port lincoln,-34.7333,135.8667,13.94,90,99,1.3,AU,1727185511
1,katsina-ala,7.1667,9.2833,27.42,79,95,1.94,NG,1727185512
2,blackmans bay,-43.0167,147.3167,12.63,73,100,0.45,AU,1727185513
3,edinburgh of the seven seas,-37.0676,-12.3116,11.07,81,90,5.24,SH,1727185515
4,gadzhiyevo,69.2551,33.3362,5.42,89,100,12.86,RU,1727185516
5,levuka,50.1834,-105.4011,9.85,87,20,2.57,CA,1727185517
6,ushuaia,-54.8,-68.3,-0.19,64,75,6.17,AR,1727185446
7,iqaluit,63.7506,-68.5145,4.85,80,20,1.03,CA,1727185520
8,isafjordur,66.0755,-23.124,7.02,81,75,4.63,IS,1727185521
9,st. john's,47.5649,-52.7093,12.86,88,100,8.05,CA,1727185271
10,machico,32.7,-16.7667,26.51,65,20,4.63,PT,1727185523
11,codrington,-38.2667,141.9667,12.27,96,100,2.46,AU,1727185524
12,shenjiamen,29.9576,122.298,23.4,90,100,2.81,CN,1727185526
13,peremyshlyany,49.6652,24.5585,23.68,36,11,4.84,UA,1727185527
14,west island,-12.1568,96.8225,26.99,89,20,6.69,CC,1727185528
15,kone,-21.0595,164.8658,20.52,87,41,1.76,NC,1727185529
16,dzuunharaa,48.8523,106.4579,10.12,53,0,2.17,MN,1727185531
17,puerto natales,-51.7236,-72.4875,0.79,75,100,9.05,CL,1727185503
18,grytviken,-54.2811,-36.5092,-1.67,66,5,6.41,GS,1727185533
19,dem'yanovo,60.3511,47.0842,9.01,62,65,1.51,RU,1727185535
20,kudahuvadhoo,2.6708,72.8944,28.84,75,1,6.23,MV,1727185536
21,fale old settlement,-9.3852,-171.2468,27.72,81,10,5.22,TK,1727185537
22,margaret river,-33.95,115.0667,8.78,74,11,3.72,AU,1727185538
23,salalah,17.0151,54.0924,28.05,78,40,4.12,OM,1727185539
24,big lake,45.3325,-93.7461,14.08,87,100,2.9,US,1727185540
25,bucerias,20.75,-105.3333,25.55,94,75,1.54,MX,1727185542
26,vila franca do campo,37.7167,-25.4333,24.23,78,47,5.99,PT,1727185543
27,port-aux-francais,-49.35,70.2167,2.6,74,100,14.99,TF,1727185544
28,yellowknife,62.456,-114.3525,5.79,100,100,5.14,CA,1727185545
29,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,81,40,1.0,RU,1727185546
30,whakatane,-37.9585,176.9854,9.73,84,0,1.34,NZ,1727185547
31,namibe,-15.1961,12.1522,22.84,64,41,5.33,AO,1727185549
32,turkmenbasy,40.0222,52.9552,24.43,69,100,8.23,TM,1727185550
33,ta`u,-14.2336,-169.5144,26.71,82,79,7.15,AS,1727185551
34,clemmons,36.0215,-80.382,22.84,97,100,1.34,US,1727185552
35,adamstown,-25.066,-130.1015,18.82,70,27,6.38,PN,1727185553
36,nagqu,31.5,92.0,4.8,57,99,2.12,CN,1727185555
37,ritchie,-29.038,24.6028,29.02,11,18,10.12,ZA,1727185556
38,holualoa,19.6228,-155.9522,21.04,93,58,2.57,US,1727185434
39,fort bragg,35.139,-79.006,24.34,90,100,1.54,US,1727185440
40,pacific grove,36.6177,-121.9166,15.82,67,0,0.81,US,1727185559
41,antalaha,-14.9003,50.2788,24.39,67,6,5.63,MG,1727185560
42,kamina,-8.7386,24.9906,31.83,21,99,4.23,CD,1727185561
43,nasir,15.5894,32.5634,40.31,16,10,1.1,SD,1727185562
44,glendive,47.1053,-104.7125,8.79,87,0,3.09,US,1727185563
45,college,64.8569,-147.8028,6.99,75,100,3.6,US,1727185564
46,sur,22.5667,59.5289,30.92,59,100,1.55,OM,1727185566
47,sitka,57.0531,-135.33,11.94,82,100,5.14,US,1727185567
48,puerto ayora,-0.7393,-90.3518,18.64,100,100,2.24,EC,1727185568
49,hawaiian paradise park,19.5933,-154.9731,21.73,94,100,0.0,US,1727185569
50,pisco,-13.7,-76.2167,17.03,88,100,1.03,PE,1727185571
51,afaahiti,-17.75,-149.2833,24.29,77,99,2.08,PF,1727185572
52,northam,51.0333,-4.2167,13.67,79,100,5.6,GB,1727185573
53,waitangi,-43.9535,-176.5597,8.79,79,51,7.6,NZ,1727185574
54,avarua,-21.2078,-159.775,23.03,83,40,5.66,CK,1727185575
55,cockburn town,21.4612,-71.1419,28.77,76,53,4.59,TC,1727185576
56,qaqortoq,60.7167,-46.0333,5.8,84,16,2.24,GL,1727185578
57,lebu,-37.6167,-73.65,10.4,69,84,1.39,CL,1727185579
58,pimentel,-6.8367,-79.9342,17.16,88,100,4.63,PE,1727185580
59,albany,42.6001,-73.9662,14.2,73,100,0.89,US,1727185430
60,bredasdorp,-34.5322,20.0403,19.01,61,100,4.92,ZA,1727185582
61,ribeira grande,38.5167,-28.7,25.22,83,75,8.05,PT,1727185583
62,papatowai,-46.5619,169.4708,6.59,70,26,6.17,NZ,1727185585
63,klyuchi,52.2667,79.1667,8.62,43,6,3.5,RU,1727185586
